leave_year,subject1_count,subject2_count,subject3_count,subject4_count,unique_author_count
2000,31,49,70,5,155
2001,46,81,79,20,226
2002,91,112,152,27,382
2003,179,188,201,54,622
2004,211,257,266,101,835
2005,336,355,338,142,1171
2006,443,487,440,182,1552
2007,465,535,519,186,1705
2008,438,614,504,186,1742
2009,503,671,516,171,1861
2010,440,769,560,173,1942
2011,510,742,622,186,2060
2012,389,690,514,107,1700
2013,356,734,509,120,1719
2014,387,891,567,111,1956
2015,431,998,601,148,2178
2016,254,830,513,64,1661
2017,249,854,533,76,1712
2018,289,905,585,74,1853
2019,340,1052,634,130,2156
2020,434,1342,718,152,2646
2021,570,1754,849,222,3395
2022,644,1817,1045,240,3746
2023,894,2279,1101,371,4645
